G7331,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
,,,,,,,,
G1375,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1375,----,11:11,0:00,当日到达,0分钟,
2,嘉兴南,G1375,11:38,11:40,0:27,当日到达,2分钟,
3,杭州东,G1375,12:03,12:07,0:52,当日到达,4分钟,
4,诸暨,G1375,12:30,12:32,1:19,当日到达,2分钟,
5,义乌,G1375,12:46,12:48,1:35,当日到达,2分钟,
6,龙游,G1375,13:16,13:18,2:05,当日到达,2分钟,
7,衢州,G1375,13:29,13:31,2:18,当日到达,2分钟,
8,玉山南,G1375,13:53,13:55,2:42,当日到达,2分钟,
9,上饶,G1375,14:08,14:10,2:57,当日到达,2分钟,
10,弋阳,G1375,14:27,14:29,3:16,当日到达,2分钟,
11,抚州东,G1375,14:53,14:55,3:42,当日到达,2分钟,
12,南昌西,G1375,15:21,15:25,4:10,当日到达,4分钟,
13,高安,G1375,15:41,15:43,4:30,当日到达,2分钟,
14,新余北,G1375,16:04,16:06,4:53,当日到达,2分钟,
15,萍乡北,G1375,16:34,16:36,5:23,当日到达,2分钟,
16,醴陵东,G1375,16:48,16:50,5:37,当日到达,2分钟,
17,长沙南,G1375,17:13,17:18,6:02,当日到达,5分钟,
18,湘潭北,G1375,17:32,17:34,6:21,当日到达,2分钟,
19,娄底南,G1375,18:00,18:02,6:49,当日到达,2分钟,
20,溆浦南,G1375,18:38,18:40,7:27,当日到达,2分钟,
21,怀化南,G1375,19:01,19:05,7:50,当日到达,4分钟,
22,凯里南,G1375,20:06,20:08,8:55,当日到达,2分钟,
23,贵阳北,G1375,20:49,20:53,9:38,当日到达,4分钟,
24,安顺西,G1375,21:23,21:25,10:12,当日到达,2分钟,
25,昆明南,G1375,23:11,23:11,12:00,当日到达,0分钟,
,,,,,,,,
G2335,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,南京南,G2335,----,11:50,0:00,当日到达,0分钟,
2,溧阳,G2335,12:17,12:19,0:27,当日到达,2分钟,
3,宜兴,G2335,12:31,12:33,0:41,当日到达,2分钟,
4,湖州,G2335,12:49,12:51,0:59,当日到达,2分钟,
5,杭州东,G2335,13:12,13:16,1:22,当日到达,4分钟,
6,义乌,G2335,13:49,13:52,1:59,当日到达,3分钟,
7,衢州,G2335,14:24,14:26,2:34,当日到达,2分钟,
8,江山,G2335,14:39,14:53,2:49,当日到达,14分钟,
9,上饶,G2335,15:14,15:16,3:24,当日到达,2分钟,
10,鹰潭北,G2335,15:42,15:44,3:52,当日到达,2分钟,
11,南昌西,G2335,16:19,16:22,4:29,当日到达,3分钟,
12,高安,G2335,16:38,16:40,4:48,当日到达,2分钟,
13,宜春,G2335,17:11,17:13,5:21,当日到达,2分钟,
14,萍乡北,G2335,17:31,17:33,5:41,当日到达,2分钟,
15,长沙南,G2335,18:03,18:11,6:13,当日到达,8分钟,
16,湘潭北,G2335,18:25,18:37,6:35,当日到达,12分钟,
17,娄底南,G2335,19:03,19:05,7:13,当日到达,2分钟,
18,溆浦南,G2335,19:41,19:43,7:51,当日到达,2分钟,
19,怀化南,G2335,20:04,20:07,8:14,当日到达,3分钟,
20,芷江,G2335,20:19,20:21,8:29,当日到达,2分钟,
21,三穗,G2335,20:55,20:57,9:05,当日到达,2分钟,
22,贵阳北,G2335,21:59,21:59,10:09,当日到达,0分钟,
,,,,,,,,
G1353,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1353,----,13:24,0:00,当日到达,0分钟,
2,嘉兴南,G1353,13:52,13:54,0:28,当日到达,2分钟,
3,海宁西,G1353,14:09,14:11,0:45,当日到达,2分钟,
4,杭州东,G1353,14:24,14:30,1:00,当日到达,6分钟,
5,金华,G1353,15:14,15:17,1:50,当日到达,3分钟,
6,江山,G1353,15:48,15:50,2:24,当日到达,2分钟,
7,上饶,G1353,16:10,16:12,2:46,当日到达,2分钟,
